Stream,r,R²,p-value
sia_1,0.8911,-87.3905,0.017131
sia_2,0.2483,-1.6304,0.320524
sia_3,0.9389,-263.2482,0.005486
sia_4,0.4409,-2.55,0.035239
sia_5,0.4208,-1.8385,0.040605
sia_6,-0.2601,-3.8435,0.46792
ron_1,0.1819,-8.3438,0.615045
fou_1,0.1939,-33.6297,0.546019
fou_2,-0.0868,-16.0059,0.811561
fou_3,0.1281,-1119.6091,0.784229
fou_4,0.2963,-101.2012,0.518829
von_1,0.1543,-1.3198,0.554337
von_2,0.0218,-42.3098,0.93168
von_3,-0.1776,-33.5212,0.561583
von_4,0.1231,-262.6601,0.626637
vet_1,0.0946,-51.5174,0.769961
